Ano;Trimestre;Precio en dolares corrientes;Tipo de cambio;IPC;Precio en soles corrientes;Precio en soles constantes de 2009;Distrito;Superficie ;Numero de habitaciones;Numero de banos;Numero de garajes;Piso de ubicacion;Vista al exterior;Anos de antiguedad
2024;1;122 981;3.76;162.44;462 313;284 614;Ate Vitarte;72;3;2;1;0;1;8
2024;1;73 555;3.76;162.44;276 509;170 227;Ate Vitarte;88;3;2;0;0;1;11
2024;1;65 161;3.76;162.44;244 954;150 801;Ate Vitarte;60;3;2;0;0;1;0
2024;1;70 148;3.76;162.44;263 701;162 342;Ate Vitarte;62;2;1;0;0;1;5
2024;1;105 058;3.76;162.44;394 937;243 135;Ate Vitarte;78;3;2;1;0;1;10
2024;1;105 000;3.76;162.44;394 718;243 001;Ate Vitarte;100;3;3;1;0;1;7
2024;1;115 000;3.76;162.44;432 311;266 143;Ate Vitarte;86;3;1;0;0;1;10
2024;1;165 408;3.76;162.44;621 807;382 803;Ate Vitarte;107;3;2;0;0;1;11
2024;1;54 254;3.76;162.44;203 953;125 559;Ate Vitarte;65;3;2;0;0;1;9
2024;1;81 535;3.76;162.44;306 507;188 695;Ate Vitarte;50;2;2;0;0;1;0
2024;1;130 000;3.76;162.44;488 699;300 858;Ate Vitarte;85;3;1;0;0;1;27
2024;1;172 626;3.76;162.44;648 940;399 507;Ate Vitarte;131;3;2;0;0;1;28
2024;1;72 000;3.76;162.44;270 664;166 629;Ate Vitarte;77;1;1;0;0;1;30
2024;1;85 000;3.76;162.44;319 534;196 715;Ate Vitarte;78;3;2;1;0;1;8
2024;1;85 000;3.76;162.44;319 534;196 715;Ate Vitarte;47;2;1;0;0;1;2
2024;1;100 000;3.76;162.44;375 922;231 429;Ate Vitarte;72;3;2;1;0;1;8
2024;1;105 000;3.76;162.44;394 718;243 001;Ate Vitarte;114;2;2;0;0;1;1
2024;1;80 000;3.76;162.44;300 738;185 143;Ate Vitarte;65;2;1;0;0;1;4
2024;1;75 000;3.76;162.44;281 942;173 572;Ate Vitarte;63;3;2;0;0;1;2
2024;1;53 000;3.76;162.44;199 239;122 657;Ate Vitarte;61;3;2;0;0;1;7
2024;1;46 150;3.76;162.44;173 488;106 805;Ate Vitarte;64;3;2;0;0;1;9
2024;1;98 000;3.76;162.44;368 404;226 801;Ate Vitarte;66;2;1;0;0;1;36
2024;1;90 000;3.76;162.44;338 330;208 286;Ate Vitarte;45;1;1;0;0;1;0
2024;1;60 000;3.76;162.44;225 553;138 857;Ate Vitarte;69;3;2;1;0;1;0
2024;1;110 000;3.76;162.44;413 515;254 572;Ate Vitarte;76;3;2;1;0;1;6
2024;1;139 000;3.76;162.44;522 532;321 686;Ate Vitarte;78;3;2;0;0;1;11
2024;1;119 000;3.76;162.44;447 348;275 401;Ate Vitarte;65;3;2;0;0;1;10
2024;1;99 000;3.76;162.44;372 163;229 115;Ate Vitarte;62;3;2;0;0;1;7
2024;1;89 000;3.76;162.44;334 571;205 972;Ate Vitarte;68;2;1;2;0;1;25
2024;1;83 900;3.76;162.44;315 399;194 169;Ate Vitarte;54;2;2;1;0;1;4
2024;1;99 000;3.76;162.44;372 163;229 115;Ate Vitarte;109;3;2;0;0;1;8
2024;1;169 900;3.76;162.44;638 692;393 198;Ate Vitarte;120;3;2;0;0;1;14
2024;1;59 000;3.76;162.44;221 794;136 543;Ate Vitarte;60;3;2;0;0;1;5
2024;1;150 000;3.76;162.44;563 884;347 144;Ate Vitarte;97;3;2;1;0;1;8
2024;1;215 000;3.76;162.44;808 233;497 573;Ate Vitarte;122;3;3;0;0;1;0
2024;1;95 000;3.76;162.44;357 126;219 858;Ate Vitarte;68;3;2;1;0;1;12
2024;1;139 000;3.76;162.44;522 532;321 686;Ate Vitarte;92;3;2;0;0;1;5
2024;1;54 900;3.76;162.44;206 381;127 055;Ate Vitarte;65;3;2;0;0;1;9
2024;1;134 267;3.76;162.44;504 739;310 732;Ate Vitarte;82;3;2;0;0;1;0
2024;1;117 984;3.76;162.44;443 527;273 048;Ate Vitarte;73;2;2;0;0;1;0
2024;1;104 330;3.76;162.44;392 201;241 451;Ate Vitarte;67;2;2;0;0;1;0
2024;1;57 000;3.76;162.44;214 276;131 915;Ate Vitarte;61;2;2;1;0;1;5
2024;1;65 000;3.76;162.44;244 350;150 429;Ate Vitarte;51;3;1;1;0;1;1
2024;1;65 000;3.76;162.44;244 350;150 429;Ate Vitarte;62;3;2;1;0;1;15
2024;1;111 026;3.76;162.44;417 371;256 946;Ate Vitarte;78;3;2;1;0;1;0
2024;1;115 000;3.76;162.44;432 311;266 143;Ate Vitarte;104;3;2;0;0;1;12
2024;1;89 000;3.76;162.44;334 571;205 972;Ate Vitarte;77;3;1;0;0;1;1
2024;1;180 000;3.76;162.44;676 660;416 572;Ate Vitarte;134;3;1;0;0;1;30
2024;1;130 000;3.76;162.44;488 699;300 858;Ate Vitarte;72;3;2;1;0;1;8
2024;1;83 000;3.76;162.44;312 016;192 086;Ate Vitarte;54;2;2;0;0;1;5
2024;1;133 999;3.76;162.44;503 732;310 113;Ate Vitarte;82;3;2;0;0;1;10
2024;1;77 000;3.76;162.44;289 460;178 200;Ate Vitarte;100;3;2;0;0;1;4
2024;1;125 000;3.76;162.44;469 903;289 286;Ate Vitarte;110;3;2;0;0;1;20
2024;1;148 000;3.76;162.44;556 365;342 515;Ate Vitarte;107;3;3;1;0;1;5
2024;1;145 000;3.76;162.44;545 087;335 572;Ate Vitarte;88;3;2;1;0;1;5
2024;1;118 000;3.76;162.44;443 588;273 086;Ate Vitarte;73;3;2;0;0;1;0
2024;1;199 000;3.76;162.44;748 085;460 544;Ate Vitarte;122;3;3;0;0;1;0
2024;1;52 000;3.76;162.44;195 480;120 343;Ate Vitarte;65;3;2;0;0;1;8
2024;1;99 990;3.76;162.44;375 885;231 406;Ate Vitarte;110;3;2;0;0;1;6
2024;1;110 000;3.76;162.44;413 515;254 572;Ate Vitarte;101;3;2;1;0;1;8
2024;1;54 000;3.76;162.44;202 998;124 972;Ate Vitarte;65;3;2;0;0;1;10
2024;1;85 000;3.76;162.44;319 534;196 715;Ate Vitarte;125;3;2;0;0;1;20
2024;1;115 000;3.76;162.44;432 311;266 143;Ate Vitarte;72;3;2;0;0;1;10
2024;1;130 000;3.76;162.44;488 699;300 858;Ate Vitarte;99;3;2;0;0;1;3
2024;1;145 000;3.76;162.44;545 087;335 572;Ate Vitarte;113;3;4;1;0;1;0
2024;1;129 000;3.76;162.44;484 940;298 544;Ate Vitarte;80;3;2;1;0;1;17
2024;1;165 000;3.76;162.44;620 272;381 858;Ate Vitarte;98;3;2;1;0;1;18
2024;1;55 000;3.76;162.44;206 757;127 286;Ate Vitarte;70;3;1;0;0;1;15
2024;1;120 000;3.76;162.44;451 107;277 715;Ate Vitarte;72;3;2;1;0;1;12
2024;1;73 000;3.76;162.44;274 423;168 943;Ate Vitarte;66;2;1;0;0;1;12
2024;1;125 000;3.76;162.44;469 903;289 286;Ate Vitarte;106;3;1;0;0;1;40
2024;1;89 000;3.76;162.44;334 571;205 972;Ate Vitarte;70;2;2;0;0;1;0
2024;1;125 000;3.76;162.44;469 903;289 286;Ate Vitarte;114;3;3;1;0;1;29
2024;1;115 000;3.76;162.44;432 311;266 143;Ate Vitarte;88;3;2;0;0;1;0
2024;1;100 000;3.76;162.44;375 922;231 429;Ate Vitarte;90;3;2;0;0;1;0
2024;1;138 000;3.76;162.44;518 773;319 372;Ate Vitarte;82;3;2;0;0;1;11
2024;1;136 000;3.76;162.44;511 254;314 744;Ate Vitarte;90;3;2;1;0;1;1
2024;1;77 000;3.76;162.44;289 460;178 200;Ate Vitarte;65;2;2;0;0;1;4
2024;1;205 000;3.76;162.44;770 641;474 430;Ate Vitarte;124;3;2;1;0;1;5
2024;1;138 000;3.76;162.44;518 773;319 372;Ate Vitarte;90;3;2;0;0;1;9
2024;1;85 000;3.76;162.44;319 534;196 715;Ate Vitarte;129;4;2;1;0;1;13
2024;1;180 445;3.76;162.44;678 335;417 603;Barranco;88;1;2;1;0;1;10
2024;1;276 950;3.76;162.44;1041 118;640 944;Barranco;105;3;2;2;0;1;5
2024;1;197 822;3.76;162.44;743 656;457 817;Barranco;97;3;2;1;0;1;3
2024;1;137 000;3.76;162.44;515 014;317 058;Barranco;87;3;2;1;0;1;1
2024;1;148 366;3.76;162.44;557 742;343 363;Barranco;65;2;2;1;0;1;0
2024;1;120 000;3.76;162.44;451 107;277 715;Barranco;85;3;2;0;0;1;7
2024;1;170 000;3.76;162.44;639 068;393 429;Barranco;100;3;2;1;0;1;20
2024;1;149 800;3.76;162.44;563 132;346 681;Barranco;72;2;2;1;0;1;1
2024;1;170 000;3.76;162.44;639 068;393 429;Barranco;57;1;1;1;0;1;5
2024;1;210 000;3.76;162.44;789 437;486 001;Barranco;75;3;2;1;0;1;0
2024;1;210 000;3.76;162.44;789 437;486 001;Barranco;67;2;2;1;0;1;0
2024;1;180 000;3.76;162.44;676 660;416 572;Barranco;93;2;2;1;0;1;44
2024;1;148 000;3.76;162.44;556 365;342 515;Barranco;89;3;2;1;0;1;7
2024;1;247 000;3.76;162.44;928 528;571 630;Barranco;64;2;2;1;0;1;0
2024;1;120 000;3.76;162.44;451 107;277 715;Barranco;60;1;1;1;0;1;0
2024;1;180 000;3.76;162.44;676 660;416 572;Barranco;106;3;3;1;0;1;10
2024;1;234 000;3.76;162.44;879 658;541 544;Barranco;105;3;2;0;0;1;0
2024;1;190 000;3.76;162.44;714 252;439 715;Barranco;103;3;2;1;0;1;7
2024;1;179 000;3.76;162.44;672 901;414 258;Barranco;60;2;2;0;0;1;1
2024;1;142 000;3.76;162.44;533 810;328 629;Barranco;71;3;2;1;0;1;10
2024;1;150 000;3.76;162.44;563 884;347 144;Barranco;76;2;2;1;0;1;7
